epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4964,1.84672,3.35977,1.80291,0.00759,0.94828,0.1411,0.0578,1.76144,3.4487,1.83927,0.00013336,0.00013336,0.00013336
2,56.2506,1.76182,2.85722,1.63879,0.00635,0.98276,0.28113,0.14172,1.75528,3.13635,1.59407,0.000280584,0.000280584,0.000280584
3,83.6657,1.77436,2.36964,1.59457,0.75746,0.01724,0.37839,0.19336,1.72981,2.8821,1.53331,0.000424838,0.000424838,0.000424838
4,110.483,1.64991,2.30637,1.54902,0.00771,0.98276,0.29658,0.14862,1.72559,2.88998,1.53006,0.000566122,0.000566122,0.000566122
5,137.141,1.67287,2.14385,1.51047,1,0.05121,0.29804,0.13498,1.79158,2.76371,1.53989,0.000704434,0.000704434,0.000704434
6,164.071,1.60517,1.94583,1.5704,0.59912,0.32184,0.55933,0.2471,1.8171,2.75253,1.59276,0.000839776,0.000839776,0.000839776
7,190.975,1.68352,2.07182,1.54444,0.39118,0.31084,0.37726,0.17493,1.82756,2.71014,1.70143,0.000972148,0.000972148,0.000972148
8,218.601,1.65122,1.97432,1.53878,0.61476,0.4987,0.50011,0.31,2.00146,2.74434,2.10847,0.00110155,0.00110155,0.00110155
9,259.827,1.64397,1.83363,1.54782,0.54137,0.55747,0.53467,0.29692,2.14904,2.75757,2.22596,0.00122798,0.00122798,0.00122798
10,296.888,1.65501,1.9133,1.4957,0.71954,0.64142,0.68951,0.36448,2.05257,2.42482,1.84661,0.00135144,0.00135144,0.00135144
11,338.96,1.64993,2.01827,1.61961,0.70756,0.74702,0.70263,0.35736,2.01206,2.36091,1.80372,0.00147193,0.00147193,0.00147193
12,384.393,1.65898,1.77783,1.55883,0.66052,0.81034,0.7107,0.36668,2.04133,2.42853,1.94153,0.00148546,0.00148546,0.00148546
13,420.896,1.58743,1.77403,1.56626,0.88732,0.72256,0.76918,0.30525,1.97802,2.16268,1.90574,0.00146896,0.00146896,0.00146896
14,452.682,1.59364,1.73306,1.58128,0.77826,0.77586,0.80413,0.31441,1.99023,1.93736,1.90136,0.00145246,0.00145246,0.00145246
15,493.133,1.57337,1.75162,1.52875,0.59183,0.75862,0.78175,0.39005,2.01019,1.96217,1.94158,0.00143595,0.00143595,0.00143595
16,522.943,1.58929,1.80749,1.5326,0.57997,0.72414,0.7446,0.4055,1.97556,2.10643,1.87869,0.00141945,0.00141945,0.00141945
17,553.936,1.64381,1.66897,1.50194,0.9039,0.67241,0.78223,0.40334,1.84644,1.96275,1.72132,0.00140295,0.00140295,0.00140295
18,584.749,1.63552,1.79657,1.53447,0.7017,0.75087,0.7775,0.36978,1.84847,1.85142,1.74323,0.00138644,0.00138644,0.00138644
19,613.943,1.52415,1.55675,1.44759,0.55529,0.71164,0.72956,0.34409,1.84054,2.0935,1.73918,0.00136994,0.00136994,0.00136994
20,650.342,1.57235,1.56275,1.47957,0.56853,0.7931,0.78451,0.39776,1.78543,1.94199,1.77791,0.00135344,0.00135344,0.00135344
21,683.48,1.49088,1.51663,1.41988,0.68714,0.77365,0.76583,0.38489,1.83841,1.9511,1.81568,0.00133693,0.00133693,0.00133693
22,728.01,1.50686,1.68159,1.46441,0.61518,0.74138,0.77822,0.36091,1.98991,1.97146,1.96277,0.00132043,0.00132043,0.00132043
23,758.264,1.47147,1.40866,1.40382,0.73928,0.58352,0.64152,0.25319,2.03126,2.11146,2.02006,0.00130393,0.00130393,0.00130393
24,788.099,1.42299,1.40425,1.40541,0.75236,0.49184,0.6747,0.26259,2.11279,1.98426,2.10504,0.00128742,0.00128742,0.00128742
25,823.047,1.47245,1.34861,1.38743,0.56584,0.57914,0.69786,0.2489,2.11467,2.02291,2.08068,0.00127092,0.00127092,0.00127092
26,849.235,1.43424,1.44768,1.43137,0.52251,0.77933,0.73343,0.26235,2.14321,2.04839,2.0678,0.00125442,0.00125442,0.00125442
27,882.398,1.43633,1.38852,1.40189,0.57314,0.7931,0.84018,0.37661,2.00428,1.92886,1.96776,0.00123791,0.00123791,0.00123791
28,909.46,1.4253,1.35167,1.38129,0.63361,0.75862,0.74993,0.306,2.11475,1.95507,2.00487,0.00122141,0.00122141,0.00122141
29,936.455,1.3752,1.41468,1.4161,0.62042,0.7931,0.74941,0.31754,2.13919,2.05206,2.00606,0.00120491,0.00120491,0.00120491
30,964.744,1.36178,1.28836,1.33332,0.81833,0.69209,0.81367,0.35037,2.10046,1.92752,2.03473,0.0011884,0.0011884,0.0011884
31,991.506,1.43827,1.42079,1.46538,0.85018,0.75862,0.83919,0.37576,2.02134,1.74706,1.98766,0.0011719,0.0011719,0.0011719
32,1019.47,1.43229,1.3105,1.3864,0.81671,0.78585,0.86234,0.36509,2.04051,1.72092,1.92797,0.0011554,0.0011554,0.0011554
33,1046.48,1.32807,1.31977,1.37144,0.8281,0.74138,0.86493,0.39119,1.98438,1.74643,1.87147,0.00113889,0.00113889,0.00113889
34,1073.65,1.38012,1.26673,1.32941,0.96534,0.65157,0.83292,0.3798,1.97804,2.03685,1.91776,0.00112239,0.00112239,0.00112239
35,1100.79,1.25454,1.20685,1.31534,0.71175,0.72312,0.70444,0.34336,1.91774,2.08256,1.88871,0.00110589,0.00110589,0.00110589
36,1138.32,1.32747,1.23006,1.33798,0.74778,0.75862,0.84299,0.38135,1.95327,1.9435,1.87642,0.00108938,0.00108938,0.00108938
